module|xml_name|group_id_15|group_name_15|group_id_19|group_name_19|status
sicpro_app_programa_viviendas|grupo_app_vivienda_visualizar|280|Usuario|134|Usuario|EXISTE_19
sicpro_app_programa_viviendas|grupo_app_vivienda_secretario_general|281|Secretario general|135|Secretario general|EXISTE_19
sicpro_app_programa_viviendas|grupo_app_vivienda_validar|282|Validar solicitud|136|Validar solicitud|EXISTE_19
sicpro_app_programa_viviendas|grupo_app_vivienda_logistica|283|Logística|137|Logística|EXISTE_19
sicpro_app_programa_viviendas|grupo_app_vivienda_economia|284|Economía|138|Economía|EXISTE_19
sicpro_app_programa_viviendas|grupo_app_vivienda_responsable|285|Responsable|139|Responsable|EXISTE_19
sicpro_app_programa_viviendas|grupo_app_vivienda_admin|286|Administrador|140|Administrador|EXISTE_19
sicpro_app_servicios_internos|grupo_app_internos_responsable|295|Responsable|103|Responsable|EXISTE_19
sicpro_app_servicios_internos|grupo_app_internos_solicitudes_usuario|296|Usuario|105|Usuario|EXISTE_19
sicpro_app_servicios_internos|grupo_app_internos_solicitudes_ejecutor|297|Ejecutor de Solicitud|106|Ejecutor de Solicitud|EXISTE_19
sicpro_app_servicios_internos|grupo_app_internos_solicitudes_revision|298|Revisión de Solicitud|107|Revisión de Solicitud|EXISTE_19
sicpro_app_servicios_internos|grupo_app_internos_solicitudes_validar|299|Validación de Solicitud|108|Validación de Solicitud|EXISTE_19
sicpro_app_solicitudes|grupo_app_grupos_ejecutante|300|Ejecutante|150|Ejecutante|EXISTE_19
sicpro_app_repositorio_institucional|group_repositorio_institucional_user|308|Usuario|90|Usuario|EXISTE_19
sicpro_app_repositorio_institucional|group_repositorio_institucional_creador|309|Creador|91|Creador|EXISTE_19
sicpro_app_repositorio_institucional|group_repositorio_institucional_validar|310|Validación|92|Validación|EXISTE_19
sicpro_app_repositorio_institucional|group_repositorio_institucional_responsable|311|Responsable|93|Responsable|EXISTE_19
sicpro_app_repositorio_institucional|group_repositorio_institucional_admin|312|Administrador|94|Administrador|EXISTE_19
