areas_cierre_wizard_rel|areas_id|sicpro_app_trabajadores_cierre_wizard|id|areas_cierre_wizard_rel_areas_id_fkey
sicpro_app_contratos_economia_indicador|create_uid|res_users|id|sicpro_app_contratos_economia_indicador_create_uid_fkey
sicpro_app_contratos_economia_indicador|write_uid|res_users|id|sicpro_app_contratos_economia_indicador_write_uid_fkey
sicpro_app_contratos_economia_pago|create_uid|res_users|id|sicpro_app_contratos_economia_pago_create_uid_fkey
sicpro_app_contratos_economia_pago|write_uid|res_users|id|sicpro_app_contratos_economia_pago_write_uid_fkey
sicpro_app_contratos_economia|area_contrato|sicpro_app_contratos_areas|id|sicpro_app_contratos_economia_area_contrato_fkey
sicpro_app_contratos_economia|banco_beneficiario|sicpro_app_contratos_economia_bancos|id|sicpro_app_contratos_economia_banco_beneficiario_fkey
sicpro_app_contratos_economia|banco_dvpe|sicpro_app_contratos_economia_bancos|id|sicpro_app_contratos_economia_banco_dvpe_fkey
sicpro_app_contratos_economia|company_id|res_company|id|sicpro_app_contratos_economia_company_id_fkey
sicpro_app_contratos_economia|create_uid|res_users|id|sicpro_app_contratos_economia_create_uid_fkey
sicpro_app_contratos_economia|cuenta_beneficiario|sicpro_app_contratos_beneficiarios|id|sicpro_app_contratos_economia_cuenta_beneficiario_fkey
sicpro_app_contratos_economia|cuenta_dvpe|sicpro_app_contratos_economia_cuentas_dvpe|id|sicpro_app_contratos_economia_cuenta_dvpe_fkey
sicpro_app_contratos_economia|estado_id|sicpro_app_contratos_economia_estados|id|sicpro_app_contratos_economia_estado_id_fkey
sicpro_app_contratos_economia|facturas_id|sicpro_app_contratos_economia_facturas|id|sicpro_app_contratos_economia_facturas_id_fkey
sicpro_app_contratos_economia|forma_pago|sicpro_app_contratos_economia_pago|id|sicpro_app_contratos_economia_forma_pago_fkey
sicpro_app_contratos_economia|message_main_attachment_id|ir_attachment|id|sicpro_app_contratos_economia_message_main_attachment_id_fkey
sicpro_app_contratos_economia|moneda|res_currency|id|sicpro_app_contratos_economia_moneda_fkey
sicpro_app_contratos_economia|name|sicpro_app_contratos|id|sicpro_app_contratos_economia_name_fkey
sicpro_app_contratos_economia|proveedor|sicpro_app_contratos_proveedores|id|sicpro_app_contratos_economia_proveedor_fkey
sicpro_app_contratos_economia|sip_acapite|sicpro_app_contratos_economia_acapite|id|sicpro_app_contratos_economia_sip_acapite_fkey
sicpro_app_contratos_economia|sip_beneficiario|sicpro_app_contratos_beneficiarios|id|sicpro_app_contratos_economia_sip_beneficiario_fkey
sicpro_app_contratos_economia|sip_indicador|sicpro_app_contratos_economia_indicador|id|sicpro_app_contratos_economia_sip_indicador_fkey
sicpro_app_contratos_economia|sol_pago_area|sicpro_app_contratos_areas|id|sicpro_app_contratos_economia_sol_pago_area_fkey
sicpro_app_contratos_economia|sol_pago_centro_costo|sicpro_nomenclador_centro_costo|id|sicpro_app_contratos_economia_sol_pago_centro_costo_fkey
sicpro_app_contratos_economia|sol_pago_cuenta_gasto|sicpro_nomenclador_cuentas_contables|id|sicpro_app_contratos_economia_sol_pago_cuenta_gasto_fkey
sicpro_app_contratos_economia|solicitud_persona_solicita|res_users|id|sicpro_app_contratos_economia_solicitud_persona_solicita_fkey
sicpro_app_contratos_economia|tipo_contrato|sicpro_app_contratos_tipo|id|sicpro_app_contratos_economia_tipo_contrato_fkey
sicpro_app_contratos_economia|tipo|sicpro_app_contratos_proveedores_tipo|id|sicpro_app_contratos_economia_tipo_fkey
sicpro_app_contratos_economia|uodc|sicpro_app_contratos_unidades|id|sicpro_app_contratos_economia_uodc_fkey
sicpro_app_contratos_economia|user_id|res_users|id|sicpro_app_contratos_economia_user_id_fkey
sicpro_app_contratos_economia|write_uid|res_users|id|sicpro_app_contratos_economia_write_uid_fkey
sicpro_app_contratos_estados|create_uid|res_users|id|sicpro_app_contratos_estados_create_uid_fkey
sicpro_app_contratos_estados|write_uid|res_users|id|sicpro_app_contratos_estados_write_uid_fkey
sicpro_app_contratos_etiquetas_rel|sicpro_app_contratos_etiquetas_id|sicpro_app_contratos_etiquetas|id|sicpro_app_contratos_etiqueta_sicpro_app_contratos_etiquet_fkey
sicpro_app_contratos_etiquetas_rel|sicpro_app_contratos_id|sicpro_app_contratos|id|sicpro_app_contratos_etiquetas_rel_sicpro_app_contratos_id_fkey
sicpro_app_contratos_etiquetas|create_uid|res_users|id|sicpro_app_contratos_etiquetas_create_uid_fkey
sicpro_app_contratos_etiquetas|write_uid|res_users|id|sicpro_app_contratos_etiquetas_write_uid_fkey
sicpro_app_contratos_forma_pago_rel|sicpro_app_contratos_economia_pago_id|sicpro_app_contratos_economia_pago|id|sicpro_app_contratos_forma_pa_sicpro_app_contratos_economi_fkey
sicpro_app_contratos_forma_pago_rel|sicpro_app_contratos_id|sicpro_app_contratos|id|sicpro_app_contratos_forma_pago_re_sicpro_app_contratos_id_fkey
sicpro_app_contratos_proveedores_estados|create_uid|res_users|id|sicpro_app_contratos_proveedores_estados_create_uid_fkey
sicpro_app_contratos_proveedores_estados|write_uid|res_users|id|sicpro_app_contratos_proveedores_estados_write_uid_fkey
sicpro_app_contratos_proveedores_etiquetas_rel|sicpro_app_contratos_proveedores_etiquetas_id|sicpro_app_contratos_proveedores_etiquetas|id|sicpro_app_contratos_proveed_sicpro_app_contratos_proveed_fkey1
sicpro_app_contratos_proveedores_etiquetas_rel|sicpro_app_contratos_proveedores_id|sicpro_app_contratos_proveedores|id|sicpro_app_contratos_proveedo_sicpro_app_contratos_proveed_fkey
sicpro_app_contratos_proveedores_etiquetas|create_uid|res_users|id|sicpro_app_contratos_proveedores_etiquetas_create_uid_fkey
sicpro_app_contratos_proveedores_etiquetas|write_uid|res_users|id|sicpro_app_contratos_proveedores_etiquetas_write_uid_fkey
sicpro_app_contratos_proveedores_rechazadas|create_uid|res_users|id|sicpro_app_contratos_proveedores_rechazadas_create_uid_fkey
sicpro_app_contratos_proveedores_rechazadas|message_main_attachment_id|ir_attachment|id|sicpro_app_contratos_proveedor_message_main_attachment_id_fkey1
sicpro_app_contratos_proveedores_rechazadas|write_uid|res_users|id|sicpro_app_contratos_proveedores_rechazadas_write_uid_fkey
sicpro_app_contratos_proveedores_tipo|create_uid|res_users|id|sicpro_app_contratos_proveedores_tipo_create_uid_fkey
sicpro_app_contratos_proveedores_tipo|write_uid|res_users|id|sicpro_app_contratos_proveedores_tipo_write_uid_fkey
sicpro_app_contratos_proveedores|company_id|res_company|id|sicpro_app_contratos_proveedores_company_id_fkey
sicpro_app_contratos_proveedores|create_uid|res_users|id|sicpro_app_contratos_proveedores_create_uid_fkey
sicpro_app_contratos_proveedores|message_main_attachment_id|ir_attachment|id|sicpro_app_contratos_proveedore_message_main_attachment_id_fkey
sicpro_app_contratos_proveedores|stage_id|sicpro_app_contratos_proveedores_estados|id|sicpro_app_contratos_proveedores_stage_id_fkey
sicpro_app_contratos_proveedores|tipo|sicpro_app_contratos_proveedores_tipo|id|sicpro_app_contratos_proveedores_tipo_fkey
sicpro_app_contratos_proveedores|user_id|res_users|id|sicpro_app_contratos_proveedores_user_id_fkey
sicpro_app_contratos_proveedores|write_uid|res_users|id|sicpro_app_contratos_proveedores_write_uid_fkey
sicpro_app_contratos_rechazado|create_uid|res_users|id|sicpro_app_contratos_rechazado_create_uid_fkey
sicpro_app_contratos_rechazado|message_main_attachment_id|ir_attachment|id|sicpro_app_contratos_rechazado_message_main_attachment_id_fkey
sicpro_app_contratos_rechazado|write_uid|res_users|id|sicpro_app_contratos_rechazado_write_uid_fkey
sicpro_app_contratos_tipo|create_uid|res_users|id|sicpro_app_contratos_tipo_create_uid_fkey
sicpro_app_contratos_tipo|write_uid|res_users|id|sicpro_app_contratos_tipo_write_uid_fkey
sicpro_app_contratos_unidades|create_uid|res_users|id|sicpro_app_contratos_unidades_create_uid_fkey
sicpro_app_contratos_unidades|write_uid|res_users|id|sicpro_app_contratos_unidades_write_uid_fkey
sicpro_app_contratos|area_contrato|sicpro_app_contratos_areas|id|sicpro_app_contratos_area_contrato_fkey
sicpro_app_contratos|beneficiario_moneda|res_currency|id|sicpro_app_contratos_beneficiario_moneda_fkey
sicpro_app_contratos|beneficiario_nombre|sicpro_app_contratos_beneficiarios|id|sicpro_app_contratos_beneficiario_nombre_fkey
sicpro_app_contratos|cancelado_persona_cancelado|res_users|id|sicpro_app_contratos_cancelado_persona_cancelado_fkey
sicpro_app_contratos|company_id|res_company|id|sicpro_app_contratos_company_id_fkey
sicpro_app_contratos|contratacion_persona_contratacion|res_users|id|sicpro_app_contratos_contratacion_persona_contratacion_fkey
sicpro_app_contratos|contratos_id|sicpro_app_contratos|id|sicpro_app_contratos_contratos_id_fkey
sicpro_app_contratos|create_uid|res_users|id|sicpro_app_contratos_create_uid_fkey
sicpro_app_contratos|devuelto_persona_devuelve|res_users|id|sicpro_app_contratos_devuelto_persona_devuelve_fkey
sicpro_app_contratos|economia_persona_economia|res_users|id|sicpro_app_contratos_economia_persona_economia_fkey
sicpro_app_contratos|estado_id|sicpro_app_contratos_estados|id|sicpro_app_contratos_estado_id_fkey
sicpro_app_contratos|firma_director_persona|res_users|id|sicpro_app_contratos_firma_director_persona_fkey
sicpro_app_contratos|firma_proveedor_persona|res_users|id|sicpro_app_contratos_firma_proveedor_persona_fkey
sicpro_app_contratos|legal_persona_legal|res_users|id|sicpro_app_contratos_legal_persona_legal_fkey
sicpro_app_contratos|message_main_attachment_id|ir_attachment|id|sicpro_app_contratos_message_main_attachment_id_fkey
sicpro_app_contratos|proveedor|sicpro_app_contratos_proveedores|id|sicpro_app_contratos_proveedor_fkey
sicpro_app_contratos|revisado_persona_revisa|res_users|id|sicpro_app_contratos_revisado_persona_revisa_fkey
sicpro_app_contratos|solicitud_persona_solicita|res_users|id|sicpro_app_contratos_solicitud_persona_solicita_fkey
sicpro_app_contratos|tipo_contrato|sicpro_app_contratos_tipo|id|sicpro_app_contratos_tipo_contrato_fkey
sicpro_app_contratos|tipo_proveedor|sicpro_app_contratos_proveedores_tipo|id|sicpro_app_contratos_tipo_proveedor_fkey
sicpro_app_contratos|uodc|sicpro_app_contratos_unidades|id|sicpro_app_contratos_uodc_fkey
sicpro_app_contratos|user_id|res_users|id|sicpro_app_contratos_user_id_fkey
sicpro_app_contratos|write_uid|res_users|id|sicpro_app_contratos_write_uid_fkey
sicpro_app_credenciales|message_main_attachment_id|ir_attachment|id|sicpro_app_credenciales_message_main_attachment_id_fkey
sicpro_app_gestor_documental|message_main_attachment_id|ir_attachment|id|sicpro_app_gestor_documental_message_main_attachment_id_fkey
sicpro_app_grupo_ejecutor_t4|company_id|res_company|id|sicpro_app_grupo_ejecutor_t4_company_id_fkey
sicpro_app_grupo_ejecutor_t4|create_uid|res_users|id|sicpro_app_grupo_ejecutor_t4_create_uid_fkey
sicpro_app_grupo_ejecutor_t4|especialista_ejecutor|sicpro_app_trabajadores|id|sicpro_app_grupo_ejecutor_t4_especialista_ejecutor_fkey
sicpro_app_grupo_ejecutor_t4|grupo_ejecutor|sicpro_app_trabajadores_areas|id|sicpro_app_grupo_ejecutor_t4_grupo_ejecutor_fkey
sicpro_app_grupo_ejecutor_t4|write_uid|res_users|id|sicpro_app_grupo_ejecutor_t4_write_uid_fkey
sicpro_app_grupo_ejecutor_t5|company_id|res_company|id|sicpro_app_grupo_ejecutor_t5_company_id_fkey
sicpro_app_grupo_ejecutor_t5|create_uid|res_users|id|sicpro_app_grupo_ejecutor_t5_create_uid_fkey
sicpro_app_grupo_ejecutor_t5|especialista_ejecutor|sicpro_app_trabajadores|id|sicpro_app_grupo_ejecutor_t5_especialista_ejecutor_fkey
sicpro_app_grupo_ejecutor_t5|write_uid|res_users|id|sicpro_app_grupo_ejecutor_t5_write_uid_fkey
sicpro_app_instrucciones_instruccion|message_main_attachment_id|ir_attachment|id|sicpro_app_instrucciones_instru_message_main_attachment_id_fkey
sicpro_app_instrucciones_trabajador|message_main_attachment_id|ir_attachment|id|sicpro_app_instrucciones_trabaj_message_main_attachment_id_fkey
