role_id_15,group_id_15,group_name_15,functional_15,role_name_15,group_id_19,group_name_19,privilege_id_19,privilege_name_19,category_id_19,category_name_19,xml_ids_19,score,reasons
72,102,Tipo Usuario: Rol Permisos,Tipo Usuario,Permisos,12,Default access for new users,,,,,base.default_user_group,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
72,102,Tipo Usuario: Rol Permisos,Tipo Usuario,Permisos,13,Technical Documentation,,,,,api_doc.group_allow_doc,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
72,102,Tipo Usuario: Rol Permisos,Tipo Usuario,Permisos,15,Mail Template Editor,,,,,mail.group_mail_template_editor,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
72,102,Tipo Usuario: Rol Permisos,Tipo Usuario,Permisos,16,Receive notifications in Odoo,,,,,mail.group_mail_notification_type_inbox,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
72,102,Tipo Usuario: Rol Permisos,Tipo Usuario,Permisos,25,Menus y Accesos Obsoletos,,,,,sicpro_app_administracion.grupo_app_administracion_obsoletos,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
72,102,Tipo Usuario: Rol Permisos,Tipo Usuario,Permisos,26,Manage Multiple Units of Measure,,,,,uom.group_uom,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
72,102,Tipo Usuario: Rol Permisos,Tipo Usuario,Permisos,27,Analytic Accounting,,,,,analytic.group_analytic_accounting,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
72,102,Tipo Usuario: Rol Permisos,Tipo Usuario,Permisos,32,Use Stages on Project,,,,,project.group_project_stages,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
72,102,Tipo Usuario: Rol Permisos,Tipo Usuario,Permisos,33,Use Recurring Tasks,,,,,project.group_project_recurring_tasks,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
72,102,Tipo Usuario: Rol Permisos,Tipo Usuario,Permisos,34,Use Task Dependencies,,,,,project.group_project_task_dependencies,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
72,102,Tipo Usuario: Rol Permisos,Tipo Usuario,Permisos,35,Use Milestones,,,,,project.group_project_milestone,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
72,102,Tipo Usuario: Rol Permisos,Tipo Usuario,Permisos,44,Consultas Postgres,,,,,sicpro_modulo_querydb.group_querydeluxe,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,17,Administrador,4,Administrar SICPRO,94,Administración SICPRO ERP,sicpro_app_administracion.grupo_app_administracion_admin,60,ROLE_NAME_EXACT;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,40,Administrador,11,Salón de Clases,107,Servicios Corporativos,sicpro_app_salon_clases.grupo_app_salon_clases_admin,60,ROLE_NAME_EXACT;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,42,Administrador,12,Registros de auditoría,115,Registro de auditoría,sicpro_modulo_auditorias.group_auditlog_manager,60,ROLE_NAME_EXACT;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,43,Administrador,13,Nomencladores,94,Administración SICPRO ERP,sicpro_modulo_nomencladores.grupo_sicpro_nomencladores_admin,60,ROLE_NAME_EXACT;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,49,Administrador,15,CMI,108,Gestión de Producción,sicpro_app_cmi.grupo_app_cmi_admin,60,ROLE_NAME_EXACT;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,53,Administrador,16,Materiales e Insumos,102,Preparación Técnica,sicpro_app_materiales_insumos.grupo_app_materiales_insumos_admin,60,ROLE_NAME_EXACT;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,58,Administrador,18,Trabajadores,97,Capital Humano,sicpro_app_trabajadores.grupo_app_trabajador_admin,60,ROLE_NAME_EXACT;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,61,Administrador,19,Equipo Técnico,97,Capital Humano,sicpro_app_trabajadores.grupo_app_trabajador_equipos_admin,60,ROLE_NAME_EXACT;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,66,Administrador,20,Disciplinarias,97,Capital Humano,sicpro_app_trabajadores.grupo_app_trabajador_disciplina_admin,60,ROLE_NAME_EXACT;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,76,Administrador,25,Control,109,Control de la información,sicpro_app_control_informacion.grupo_control_informacion_admin,60,ROLE_NAME_EXACT;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,79,Administrador,26,Credenciales,97,Capital Humano,sicpro_app_credenciales.grupo_app_credenciales_admin,60,ROLE_NAME_EXACT;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,83,Administrador,27,Medios Informáticos,112,Informática,sicpro_app_medios_informaticos.grupo_app_medios_informaticos_admin,60,ROLE_NAME_EXACT;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,89,Administrador,29,Metrología,106,Activos y Herramientas,sicpro_app_metrologia.grupo_app_metrologia_admin,60,ROLE_NAME_EXACT;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,94,Administrador,30,Repositorio DVPE.,107,Servicios Corporativos,sicpro_app_repositorio_institucional.group_repositorio_institucional_admin,60,ROLE_NAME_EXACT;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,104,Administrador,32,Servicios Internos,107,Servicios Corporativos,sicpro_app_servicios_internos.grupo_app_internos_admin,60,ROLE_NAME_EXACT;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,111,Administrador,34,Soporte,113,Soporte Técnico,sicpro_app_soporte.group_soporte_admin,60,ROLE_NAME_EXACT;HAS_XMLID_19
