14|Canned Response Administrator|3|Canned Responses|19|Marketing||mail.group_mail_canned_response_admin
101|Ejecutor de Servicios|32|Servicios Internos|107|Servicios Corporativos||sicpro_app_servicios_internos.grupo_app_internos_ejecutor_servicios
102|Ejecutor Corporativo|32|Servicios Internos|107|Servicios Corporativos||sicpro_app_servicios_internos.grupo_app_internos_ejecutor_interno
103|Responsable|32|Servicios Internos|107|Servicios Corporativos||sicpro_app_servicios_internos.grupo_app_internos_responsable
104|Administrador|32|Servicios Internos|107|Servicios Corporativos||sicpro_app_servicios_internos.grupo_app_internos_admin
105|Usuario|33|Solicitudes de S.I.|107|Servicios Corporativos||sicpro_app_servicios_internos.grupo_app_internos_solicitudes_usuario
106|Ejecutor de Solicitud|33|Solicitudes de S.I.|107|Servicios Corporativos||sicpro_app_servicios_internos.grupo_app_internos_solicitudes_ejecutor
107|Revisión de Solicitud|33|Solicitudes de S.I.|107|Servicios Corporativos||sicpro_app_servicios_internos.grupo_app_internos_solicitudes_revision
108|Validación de Solicitud|33|Solicitudes de S.I.|107|Servicios Corporativos||sicpro_app_servicios_internos.grupo_app_internos_solicitudes_validar
46|Usuarios|15|CMI|108|Gestión de Producción||sicpro_app_cmi.grupo_app_cmi_usuario
47|Ejecutor|15|CMI|108|Gestión de Producción||sicpro_app_cmi.grupo_app_cmi_ejecutor
48|Responsable|15|CMI|108|Gestión de Producción||sicpro_app_cmi.grupo_app_cmi_responsable
49|Administrador|15|CMI|108|Gestión de Producción||sicpro_app_cmi.grupo_app_cmi_admin
71|Visualizar Proceso|23|Ejecutor|109|Control de la información||sicpro_app_control_informacion.grupo_control_informacion_visualizar_proceso
72|Ejecutor|23|Ejecutor|109|Control de la información||sicpro_app_control_informacion.grupo_control_informacion_ejecutor
73|Revisión|24|Revisión|109|Control de la información||sicpro_app_control_informacion.grupo_control_informacion_revision
74|Visualizar Todo|25|Control|109|Control de la información||sicpro_app_control_informacion.grupo_control_informacion_visualizar_todo
75|Responsable|25|Control|109|Control de la información||sicpro_app_control_informacion.grupo_control_informacion_responsable
76|Administrador|25|Control|109|Control de la información||sicpro_app_control_informacion.grupo_control_informacion_admin
133|Secretario sindical|42|Sindicato|110|Programa de la Vivienda||sicpro_app_programa_viviendas.grupo_app_vivienda_secretario
134|Usuario|43|Operaciones|110|Programa de la Vivienda||sicpro_app_programa_viviendas.grupo_app_vivienda_visualizar
135|Secretario general|43|Operaciones|110|Programa de la Vivienda||sicpro_app_programa_viviendas.grupo_app_vivienda_secretario_general
136|Validar solicitud|43|Operaciones|110|Programa de la Vivienda||sicpro_app_programa_viviendas.grupo_app_vivienda_validar
137|Logística|43|Operaciones|110|Programa de la Vivienda||sicpro_app_programa_viviendas.grupo_app_vivienda_logistica
138|Economía|43|Operaciones|110|Programa de la Vivienda||sicpro_app_programa_viviendas.grupo_app_vivienda_economia
139|Responsable|43|Operaciones|110|Programa de la Vivienda||sicpro_app_programa_viviendas.grupo_app_vivienda_responsable
140|Administrador|43|Operaciones|110|Programa de la Vivienda||sicpro_app_programa_viviendas.grupo_app_vivienda_admin
119|Visualizar|38|Víveres Logística|111|Alimentación||sicpro_app_viveres.grupo_app_viveres_resumen_usuario
120|Ejecutor|38|Víveres Logística|111|Alimentación||sicpro_app_viveres.grupo_app_viveres_resumen_ejecutor
121|Responsable|38|Víveres Logística|111|Alimentación||sicpro_app_viveres.grupo_app_viveres_resumen_responsable
122|Administrador|38|Víveres Logística|111|Alimentación||sicpro_app_viveres.grupo_app_viveres_admin
123|Visualizar|39|Víveres Áreas|111|Alimentación||sicpro_app_viveres.grupo_app_viveres_areas_usuario
124|Ejecutor|39|Víveres Áreas|111|Alimentación||sicpro_app_viveres.grupo_app_viveres_areas_ejecutor
125|Jefe|39|Víveres Áreas|111|Alimentación||sicpro_app_viveres.grupo_app_viveres_areas_responsable
80|Visualizar|27|Medios Informáticos|112|Informática||sicpro_app_medios_informaticos.grupo_app_medios_informaticos_inventario_usuario
81|Técnico|27|Medios Informáticos|112|Informática||sicpro_app_medios_informaticos.grupo_app_medios_informaticos_inventario_tecnico
82|Responsable|27|Medios Informáticos|112|Informática||sicpro_app_medios_informaticos.grupo_app_medios_informaticos_responsable
83|Administrador|27|Medios Informáticos|112|Informática||sicpro_app_medios_informaticos.grupo_app_medios_informaticos_admin
84|Visualizar|28|Taller|112|Informática||sicpro_app_medios_informaticos.grupo_app_medios_informaticos_taller_usuario
85|Técnico|28|Taller|112|Informática||sicpro_app_medios_informaticos.grupo_app_medios_informaticos_taller_tecnico
109|Ejecutor|34|Soporte|113|Soporte Técnico||sicpro_app_soporte.group_soporte_ejecutor
110|Responsable|34|Soporte|113|Soporte Técnico||sicpro_app_soporte.group_soporte_responsable
111|Administrador|34|Soporte|113|Soporte Técnico||sicpro_app_soporte.group_soporte_admin
112|Visualizar Todos los Tickets de Soporte|35|Ver Todo|113|Soporte Técnico||sicpro_app_soporte.group_soporte_todos
41|Usuario|12|Registros de auditoría|115|Registro de auditoría||sicpro_modulo_auditorias.group_auditlog_user
42|Administrador|12|Registros de auditoría|115|Registro de auditoría||sicpro_modulo_auditorias.group_auditlog_manager
1|Role / User||||||base.group_user
2|Access Rights||||||base.group_erp_manager
3|Bypass HTML Field Sanitize||||||base.group_sanitize_override
4|Role / Administrator||||||base.group_system
5|Multi Companies||||||base.group_multi_company
6|Multi Currencies||||||base.group_multi_currency
7|Technical Features||||||base.group_no_one
10|Role / Portal||||||base.group_portal
11|Role / Public||||||base.group_public
12|Default access for new users||||||base.default_user_group
13|Technical Documentation||||||api_doc.group_allow_doc
15|Mail Template Editor||||||mail.group_mail_template_editor
16|Receive notifications in Odoo||||||mail.group_mail_notification_type_inbox
25|Menus y Accesos Obsoletos||||||sicpro_app_administracion.grupo_app_administracion_obsoletos
26|Manage Multiple Units of Measure||||||uom.group_uom
27|Analytic Accounting||||||analytic.group_analytic_accounting
32|Use Stages on Project||||||project.group_project_stages
33|Use Recurring Tasks||||||project.group_project_recurring_tasks
34|Use Task Dependencies||||||project.group_project_task_dependencies
35|Use Milestones||||||project.group_project_milestone
44|Consultas Postgres||||||sicpro_modulo_querydb.group_querydeluxe
